source_key,organization_or_family,family,tier_proposed,url,access_status,automated_collection_permitted,licence_or_reuse_notes,last_assessed,assessment_notes
official_statements,"Official ministry / public-enterprise statements",official,1,TO_ASSESS,TO_ASSESS,unclear,TO_ASSESS,,"Registry entry + adapter stub only. Assessment requires network access — out of scope for foundation build."
tbmm,"TBMM research reports & minutes",parliamentary,1,TO_ASSESS,TO_ASSESS,unclear,TO_ASSESS,,"Recommended first adapter to assess: Tier-1 public record, long-form, low legal risk, rich in findings and recommendations. Confirm access terms first."
sgk,"SGK annual aggregate statistics",official_statistics,1,TO_ASSESS,TO_ASSESS,unclear,TO_ASSESS,,"Tier 1 for AGGREGATES ONLY — feeds aggregate_* tables, never incident-level evidence."
tmmob_maden,"TMMOB Maden Mühendisleri Odası reports",professional_chamber,2,TO_ASSESS,TO_ASSESS,unclear,TO_ASSESS,,"Registry entry + adapter stub only."
isig_meclisi,"İSİG Meclisi reports",civil_society,2,TO_ASSESS,TO_ASSESS,unclear,TO_ASSESS,,"Registry entry + adapter stub only."
academic,"Academic publications",academic,2,TO_ASSESS,TO_ASSESS,unclear,TO_ASSESS,,"Registry entry only; no adapter planned for MVP."
news,"Reputable national/local news",news_media,3,TO_ASSESS,TO_ASSESS,unclear,TO_ASSESS,,"Registry entry only; no adapter planned for MVP. Per-outlet assessment required."
manual,"Manual entry",manual,,,available,yes,"Human-entered evidence; carrier for documents collected under each source's own terms",,"Fully implemented importer (adapters/manual.py)."
wikidata,"Wikidata (structured event items)",open_knowledge_base,3,https://www.wikidata.org,available,yes,"CC0 1.0 — reuse unrestricted; API/SPARQL collection explicitly permitted",2026-07-13,"Assessed 2026-07-13: tertiary aggregation of secondary sources; suitable for seeding candidate incidents; every value still requires the claim->decision flow. Sparse for deaths/coordinates."
wikipedia,"Wikipedia (tr/en article infoboxes and leads)",open_encyclopedia,3,https://www.wikipedia.org,available,yes,"CC BY-SA 4.0 — attribution required; API collection permitted",2026-07-13,"Assessed 2026-07-13: tertiary source citing news/official reports; infobox values extracted mechanically (html_parser), prose values only as ai_assisted claims that require human review before becoming canonical."
