entity,field,original_value,corrected_value,action,rationale
TR-MINE-2025-0002,publication_status,publishable,withdrawn,withdrawn,"Bullet is Dev. Maden-Sen's February 2021 monthly multi-incident summary (Aydın+Elazığ+Aydın); '2025-01-22' was a citation access date, not an event date."
TR-MINE-2025-0003,publication_status,publishable,withdrawn,withdrawn,Bullet describes the 23 February 2010 Dursunbey (Odaköy) disaster with no in-text date; '2025-01-22' was a citation access date. The disaster re-enters from its own dated list entry.
TR-MINE-2025-0004,publication_status,publishable,withdrawn,withdrawn,Bullet is the April 2021 monthly multi-incident summary; date was a citation access date.
TR-MINE-2025-0005,publication_status,publishable,withdrawn,withdrawn,Bullet is the May 2021 monthly multi-incident summary (Manisa+Denizli+Bursa); date was a citation access date.
TR-MINE-2025-0006,publication_status,publishable,withdrawn,withdrawn,Bullet is the March 2021 monthly multi-incident summary; date was a citation access date.
TR-MINE-2014-0002,publication_status,publishable,withdrawn,withdrawn,"Bullet conflates two same-day accidents in different provinces (Amasra/Bartın roof collapse, 2 deaths; Gelik/Zonguldak wagon collision, 1 death). Replaced by two separate records."
audit2026:bartin-amasra-2014,record,(part of TR-MINE-2014-0002),"Maden kazası — Amasra, Bartın (2014-11-01): 2 deaths",created,Split of the conflated 2014-11-01 bullet (audit §2).
audit2026:zonguldak-gelik-2014,record,(part of TR-MINE-2014-0002),"Maden kazası — Gelik, Zonguldak (2014-11-01): 1 deaths",created,Split of the conflated 2014-11-01 bullet (audit §2).
TR-MINE-2022-0001,casualty_status,None,disputed,decision,42 vs 43 cumulative deaths; revision pending TBMM assessment.
TR-MINE-2014-0001,event_mechanism,fire + gas_explosion,fire (gas_explosion needs_review),demoted,Fire is the established mechanism (audit §6).
wikidata:Q16950520,province_code,None,45,corrected,"Soma is a district of Manisa; the twin item (Eynez, identical coordinates) states Manisa; the coordinates sit on the simplified Manisa-İzmir boundary so geometric derivation is not usable here."
wikidata:Q49413427,facility_type,mine_unspecified,operating_directorate,corrected,"Garp Linyitleri İşletmesi is TKİ's operating directorate at Tavşanlı, Kütahya — an enterprise over several sites, not one mine (audit §7)."
wikidata:Q49413429,facility_type,mine_unspecified,operating_directorate,corrected,Second Wikidata item for the same TKİ directorate (audit §7).
wikidata:Q16958962,duplicate_of,,wikidata:Q16509436,deduplicated,'Kişladağ mine' and 'Kışladağ altın madeni' are spelling variants of the same Uşak gold mine.
TR-MINE-2022-0001 fatalities 42 -> 43,,,,pending,TBMM records document a 43rd death (April 2023); TBMM is TO_ASSESS in the source registry. casualty_status set to 'disputed' meanwhile; open question #20.
wikidata:Q137925109 (Gökırmak) commodity -> copper,,,,pending,Operator sources describe a copper project; Wikidata states Pt/Pd/Rb/Au only. Kept source-stated value; pending operator-source assessment.
wikidata:Q97236653 (Öksüt) province -> Kayseri,,,,pending,"No assessed source states the province (no coordinates, no admin statement, no linked article). Pending operator/official-source assessment."
TR-MINE-2010-0002 (Küçükdoğanca) mechanism += fire,,,,pending,Audit reports fire-then-collapse; the stored article text does not mention fire. Pending a source that states it.
"Yeni Çeltek 1983 (5) and 1990-02-07 (68), Amasya",,,,pending,"Absent from all assessed sources (list article, navbox, Wikidata class query). Known coverage gap pending TBB/TMMOB source assessment; open question #21."
wikidata:Q61074517,suppression,,COORD_CONFLICT,suppressed,"Sart and Mastra gold mines carry the same point (QA check QC-W07, 2026-07-18); the point is consistent with Mastra only."
incidents,canonical_title_tr,descriptive titles containing a long dash,same titles with a comma instead,style_retitle,Owner directive (2026-07-24): no long dashes in display text. The titles are project-assigned descriptive labels; no factual change.
TR-MINE-2019-0002,incident_start_datetime,,2019-01-13T00:00:00+03:00,corrected,"Senior analyst review of 2026-07-25 (owner-forwarded), verified against the stored raw source documents. The stored source bullet reads ""13 Ocak'ta Manisa'nin Soma ilcesinde meydana gelen kaza"": the event date is 13 January 2019. The published 2019-02-03 was a parser error (a reference/access date read as the event date). Corrects a day/date inversion of our own extraction."
TR-MINE-2019-0002,injuries_current,,1,corrected,"Senior analyst review of 2026-07-25 (owner-forwarded), verified against the stored raw source documents. The same source clause states ""1 isci yaralandi"" (1 injured); the value was present in the source but not extracted."
TR-MINE-2019-0002,canonical_title_tr,,"Maden kazasi, Manisa (2019-01-13)",corrected,"Senior analyst review of 2026-07-25 (owner-forwarded), verified against the stored raw source documents. Project-assigned descriptive title updated to the corrected event date."
TR-MINE-2003-0002,casualty_status,,disputed,corrected,"Senior analyst review of 2026-07-25 (owner-forwarded), verified against the stored raw source documents. The 8 August 2003 Askale (Erzurum) grizu explosion toll differs across sources (reports of 7, 8 and 9 dead). Marked disputed pending a primary or authoritative source; the stored value of 7 is retained meanwhile."
İSİG mining totals 2016/2018/2019 -> 74/67/64,,,,pending,"The review cites revised retrospective İSİG figures (2016 73->74, 2018 66->67, 2019 63->64). Our stored series holds 73/66/63; updating requires the revised İSİG source. Pending İSİG source re-assessment."
TR-MINE-2022-0001 (Amasra) cumulative 42 -> 43 with structure,,,,pending,"The review asks for an immediate/subsequent split (42 initial + 1 April 2023 = 43 cumulative, with an as-of date). Needs the casualty-qualifier schema and the TBMM source (TO_ASSESS); already tracked as open question #20. casualty_status stays 'disputed' meanwhile."
extractor: guard access-date-as-event-date and day/date inversions,,,,pending,The 2019-0002 error shows the list parser can take a reference access date as the event date. Add a parser rule and a regression test; pending extractor work (review P2).
